"gene_id","count","log10_count"
"YBR296C",3,0.602059991327962
"YBR296C-A",0,0
"YBR297W",73,1.86923171973098
"YBR298C",120,2.08278537031645
"YBR298C-A",0,0
"YBR299W",2,0.477121254719662
"YBR300C",0,0
"YBR301W",0,0
"YBR302C",0,0
"YCL001W",68,1.83884909073726
"YCL001W-A",3,0.602059991327962
"YCL001W-B",1,0.301029995663981
"YCL002C",41,1.6232492903979
"YCL004W",25,1.41497334797082
"YCL005W",18,1.27875360095283
"YCL005W-A",43,1.64345267648619
"YCL007C",31,1.50514997831991
"YCL008C",14,1.17609125905568
"YCL009C",32,1.51851393987789
"YCL010C",13,1.14612803567824
"YCL011C",78,1.89762709129044
"YCL012C",16,1.23044892137827
"YCL014W",57,1.76342799356294
"YCL016C",22,1.36172783601759
"YCL017C",195,2.29225607135648
"YCL018W",123,2.09342168516224
"YCL019W",0,0
"YCL020W",0,0
"YCL021W-A",5,0.778151250383644
