"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"YBL008W-A",0,1,0,2,0,1
"YBL009W",15,11,11,11,10,3
"YBL010C",23,17,11,21,14,21
"YBL011W",43,80,27,65,85,65
"YBL012C",5,6,6,7,7,5
"YBL013W",2,4,0,1,4,3
"YBL014C",55,31,27,58,53,51
"YBL015W",270,359,144,110,100,68
"YBL016W",23,17,15,22,16,17
"YBL017C",372,236,227,284,330,312
"YBL018C",51,41,20,16,34,25
"YBL019W",49,29,14,48,60,62
"YBL020W",125,114,70,92,76,69
"YBL021C",56,61,28,15,21,22
"YBL022C",202,208,102,209,224,244
"YBL023C",51,28,35,19,29,29
"YBL024W",104,65,45,41,47,56
"YBL025W",22,12,12,17,18,16
"YBL026W",58,56,11,15,31,39
"YBL027W",634,402,248,219,253,250
"YBL028C",77,96,19,15,17,36
"YBL029C-A",61,104,28,74,94,105
"YBL029W",212,312,48,261,365,414
"YBL030C",520,586,317,196,186,214
"YBL031W",13,6,2,1,2,2
"YBL032W",33,36,12,27,26,26
"YBL033C",150,226,80,87,100,95
"YBL034C",84,63,34,54,63,62
"YBL035C",28,23,22,11,30,14
"YBL036C",115,108,55,62,81,94
"YBL037W",30,19,16,34,28,26
"YBL038W",176,173,47,54,70,80
"YBL039C",53,23,24,30,23,33
"YBL039C-A",0,0,0,0,0,0
"YBL039W-B",27,30,9,9,11,26
"YBL040C",101,110,52,36,49,41
"YBL041W",347,282,159,153,196,193
"YBL042C",76,43,34,74,79,72
"YBL043W",132,156,57,48,48,30
"YBL044W",0,0,0,0,0,1
"YBL045C",808,763,372,434,486,526
"YBL046W",24,24,13,47,44,34
"YBL047C",201,249,117,228,313,324
"YBL048W",27,56,28,245,266,254
"YBL049W",89,76,62,442,528,470
"YBL050W",178,178,80,156,194,177
"YBL051C",167,181,51,191,221,199
"YBL052C",50,70,7,34,30,51
"YBL053W",17,36,2,8,10,17
"YBL054W",29,19,12,32,24,37
"YBL055C",43,28,18,28,48,41
"YBL056W",172,102,85,142,189,145
"YBL057C",41,40,39,28,26,30
"YBL058W",150,141,60,97,116,111
"YBL059C-A",181,210,60,50,58,65
"YBL059W",48,56,17,7,20,12
"YBL060W",51,41,21,39,44,56
"YBL061C",46,56,32,36,37,49
"YBL062W",15,16,8,9,16,15
"YBL063W",56,61,14,35,46,51
"YBL064C",974,872,449,494,602,551
"YBL065W",8,7,12,4,10,5
"YBL066C",112,122,73,99,119,141
"YBL067C",121,133,51,123,134,138
"YBL068W",54,35,27,24,24,16
"YBL068W-A",0,0,0,0,0,0
"YBL069W",10,5,6,6,4,2
"YBL070C",1,0,1,0,4,0
"YBL071C",18,24,5,8,18,9
"YBL071C-B",8,5,4,2,3,4
"YBL071W-A",21,20,10,17,6,7
"YBL072C",191,99,89,53,87,67
"YBL073W",9,6,2,4,3,5
"YBL074C",16,11,15,10,25,19
"YBL075C",114,137,61,155,214,201
"YBL076C",392,212,259,179,240,211
"YBL077W",75,68,30,42,39,47
"YBL078C",111,181,40,86,97,124
"YBL079W",123,94,76,143,157,178
"YBL080C",30,23,17,22,32,19
"YBL081W",41,23,12,21,22,23
"YBL082C",22,11,18,29,21,15
"YBL083C",0,0,0,0,1,1
"YBL084C",68,67,21,74,78,98
"YBL085W",95,96,46,60,77,88
"YBL086C",63,75,22,57,80,83
